id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
19899265,Modern Home in Urban Neighborhood,19140005,Cleopatra,,South Linden,40.00463683110653,-82.97574645992309,Entire home/apt,160,2,0,,,1,179
19912438,Doesn't Get Much Better Than This!,140147761,Maria,,Eastland/Brice,39.895297242578,-82.88596497443613,Entire home/apt,250,3,0,,,1,365
19923750,Bed & Private bath+Instant book,88006238,Bonnie,,Near East,39.97472099689061,-82.94814576843528,Private room,29,1,11,2018-02-03,0.75,4,158
19928533,Beautiful Bungalow near OSU/Clintonville,26958698,Benjamin,,North Linden,40.02059345247415,-82.9934677566313,Entire home/apt,130,1,78,2018-09-23,5.89,16,359
19933024,Brand New House & Huge Patio in German Village,9152651,Jon,,Near South,39.95147513703012,-82.987489883102,Entire home/apt,135,1,87,2018-10-07,6.01,12,159
19961055,"Beautiful, spacious home, walking distance to OSU",72162010,Matthew,,Near North/University,40.01302689894125,-83.01066082204429,Entire home/apt,200,2,12,2018-10-07,0.91,1,313
20000599,Finished Basement Space in Columbus Cape Cod,14657799,Emily,,North Linden,40.02766025934606,-82.99236803741533,Private room,50,1,40,2018-09-29,2.86,1,68
20015830,Comforts of Home -Instant book,88006238,Bonnie,,Near East,39.97611528685225,-82.94820694564386,Private room,39,1,51,2018-09-20,3.49,4,169
20029555,Hamlet House: Follies Room,97328817,Dana,,Near North/University,39.97879212004968,-82.9987043379398,Private room,30,1,12,2018-03-10,0.86,3,17
20029773,Hamlet House: Fugitive Songs Room,97328817,Dana,,Near North/University,39.97912420575613,-82.99965885983974,Private room,30,1,5,2018-01-12,0.34,3,17
20029813,The Hamlet House: Writer's Room,97328817,Dana,,Near North/University,39.98020684271546,-82.99821662487737,Private room,50,1,1,2017-08-18,0.07,3,17
20053350,Franklin Park Hideaway,26958698,Benjamin,,Near East,39.968493733122656,-82.95475467380315,Entire home/apt,109,1,71,2018-09-30,4.95,16,96
20065692,Charming Olde Towne East Private Bedroom-Bathroom,19810384,Anthony,,Near East,39.960861153128306,-82.9552648638379,Private room,42,1,109,2018-10-07,7.45,1,139
20076659,Nice little Apartment near OSU Campus,127409216,Arif,,West Olentangy,40.02465003182046,-83.03111511776687,Private room,23,1,87,2018-09-23,5.99,1,348
20116855,City life and convenience; the comforts of home,4704992,Deb,,Near South,39.932486737185485,-82.99227433345845,Entire home/apt,115,1,34,2018-10-05,2.57,1,77
20132182,Quiet spacious private room in Hilliard,90709011,Pavla,,Far West,39.99520383865237,-83.1610282951271,Private room,60,1,7,2018-04-01,0.49,2,37
20132677,"Charming Renovated Duplex, Minutes from Downtown",35045902,Kelly & Eric,,Near South,39.928190063479384,-82.98547163235503,Entire home/apt,146,1,71,2018-09-30,5.26,1,135
20147810,Gracious living on High Street,39004963,Nick,,Near North/University,39.97629193283337,-83.0036595534084,Private room,54,1,68,2018-09-23,4.94,1,4
20170350,Massive Historic 4BD/3BA House near Short North!,9152651,Jon,,Near North/University,39.986973668282985,-83.00925002529569,Entire home/apt,125,1,55,2018-10-05,3.97,12,175
20170921,Entire Home near Short North! Perfect Location!,9152651,Jon,,Near North/University,39.982166130480046,-83.01048670865956,Entire home/apt,85,1,48,2018-10-07,3.46,12,181
20174843,Weinland Park Townhouse,483306,Audra & Lacey,,Near North/University,39.989751329511186,-82.99777182232465,Entire home/apt,130,1,72,2018-10-07,5.32,3,73
20232809,The Morrill Manor,144167187,Derek,,Near South,39.92989231190558,-82.98903609516672,Private room,57,1,1,2018-06-17,0.26,1,88
20264465,Short North/Victorian Village home near OSU,29751199,William,,Near North/University,39.98875506578096,-83.00889257551779,Entire home/apt,325,1,35,2018-09-17,2.57,1,338
20268758,Sunny Room w/Ensuite Bathroom near Chase Polaris,64906138,Chloe,,Far North,40.1336380818258,-83.01806114403952,Private room,39,1,53,2018-09-23,5.39,1,83
20276424,Cozy Newly built townhouse,144306145,Geri,,Hayden Run,40.061449168105966,-83.175510606803,Entire home/apt,120,2,12,2018-08-19,0.88,2,40
20286076,★★2BR★Kitchen★Walk to OSU★Self Check-in★Stadium★★,130981962,Lucy,,Near North/University,40.01167584171038,-83.01274891875426,Entire home/apt,90,1,92,2018-10-07,7.48,1,343
20391786,Wonderful 2nd floor room in beautiful house!,145386310,Christine,,Near East,39.968320887983474,-82.96710719851406,Private room,30,1,84,2018-10-05,6.12,2,333
20394599,Enjoy my master guest bedroom,76628675,Jake,,Far Northwest,40.10782915341487,-83.07132684105336,Private room,60,1,1,2018-03-13,0.14,5,174
20417564,Harrison House,10907303,Kurtis,,Near North/University,39.985462944944544,-83.01400604007877,Entire home/apt,153,1,34,2018-07-08,2.58,1,5
20451291,Enjoy my guest bedroom.,76628675,Jake,,Far Northwest,40.10901095608254,-83.07184992521867,Private room,0,1,1,2017-11-03,0.09,5,84
20455332,Private Studio Apartment in Short North Arts Area,146011229,Amanda,,Near North/University,39.987936320408465,-83.00794023992064,Entire home/apt,75,1,199,2018-10-08,14.18,1,234
20456401,Perfect for OSU Fans!!,144300142,Courtney,,Far North,40.136108526756374,-82.97107517317504,Entire home/apt,110,2,62,2018-10-01,4.62,1,137
20469877,"Huge 5 BR, 1.5B, FREE Parking & WIFI, Near Mapfre!",27439453,Ingrid & Mike,,Near North/University,40.00489234791745,-82.9976114462162,Entire home/apt,125,1,39,2018-09-29,2.93,10,251
20490559,5th Avenue Gem,104372334,Michelle,,West Olentangy,39.98909918517038,-83.02790678665431,Entire home/apt,206,2,1,2018-09-23,1,1,94
20503445,The Olde Town Home,19515473,James,,Near East,39.95600829282213,-82.97150603035581,Private room,40,1,53,2018-09-23,3.87,1,151
20553452,Berwick Home Bed and Breakfast,146780746,Victoria,,Eastmoor/Walnut Ridge,39.932940027810176,-82.92125726984965,Private room,55,3,3,2018-05-20,0.23,1,90
20591118,"Clean, quiet private room",126958941,Scott,,Hayden Run,40.060154260739836,-83.1294100121491,Private room,45,1,19,2018-09-02,1.41,1,174
20620942,Tranquil Home Away From Home,35426465,Karen,,Clintonville,40.034136525120616,-83.02268910211309,Entire home/apt,184,1,29,2018-06-24,3.48,6,279
20634664,Centrally Located 2BR Columbus House!,121719854,Evolve Vacation Rental,,Near North/University,39.984456042283284,-83.00513598991482,Entire home/apt,295,2,5,2018-08-19,0.66,1,339
20674936,Cozy room,144306145,Geri,,Hayden Run,40.063059308280785,-83.17617538627633,Private room,55,1,22,2018-10-07,1.66,2,149
20694473,Short North/Italian Village Townhome,90791703,Jim,,Near North/University,39.97982080253867,-82.9989478189771,Entire home/apt,95,1,56,2018-10-06,4.30,1,151
20695294,Luxury Location and Amenities,70413293,STR Capital,,West Olentangy,39.988681501324685,-83.03273101003963,Entire home/apt,100,1,20,2018-10-03,1.62,12,174
20754302,Art at 185 German Village,22063803,Marty,,Near South,39.9472236540836,-82.99357317799404,Entire home/apt,80,1,87,2018-10-09,6.69,1,327
20793472,German Village - Beakerloo Apt A,42309439,Lucy & Brent,,Near South,39.94378348470991,-82.99131512633522,Entire home/apt,99,1,65,2018-09-30,5.39,2,295
20819500,Brutus House,106599346,Katie,,West Olentangy,39.99084135990343,-83.05015469079903,Entire home/apt,75,1,8,2018-09-30,0.65,1,185
20843784,Great Extra Room for a Guest,29129391,Jason,,Near East,39.97222937028633,-82.95789514560326,Private room,45,1,3,2018-06-22,0.41,3,101
20850906,Fully updated & Charming 3 BR German Village condo,18660510,Steve,,Near South,39.93711456159379,-82.99465666948126,Entire home/apt,179,2,25,2018-09-02,1.92,1,175
20858721,Clintonville Apartments 2636 C,119188865,Bridgid,,Near North/University,40.016574449431005,-83.0012914583591,Entire home/apt,80,2,13,2018-08-20,1.00,4,312
20862582,Historic Townhouse In the heart of the Short North,149748979,David,,Near North/University,39.98066855433662,-83.00235810808616,Entire home/apt,100,1,34,2018-10-07,2.66,1,58
20870549,Tasteful Short North Townhouse in Prime Location,5213484,Kara,,Near North/University,39.978242612337596,-83.00470777482748,Private room,85,1,119,2018-10-07,9.32,1,80
20871689,Short North Downtown 4BR 2B Victorian + Fast WiFi,10210173,Justin & Sara,,Near North/University,39.98182920596547,-83.01124381484883,Entire home/apt,199,2,42,2018-09-23,3.56,1,311
20904201,Cozy Space near OSU campus,31849790,Jessica,,Near North/University,39.99400780369237,-82.99649506484376,Private room,45,2,35,2018-09-29,2.69,1,60
